Filename,TotalFrames,Rows,Columns
\Back\PIKACHU.png,113,11,11
\Back\PIKACHU_female.png,113,11,11
\Back\PIKIPEK.png,1,1,1
\Back\PILOSWINE.png,66,8,9
\Back\PILOSWINE_female.png,66,8,9
\Back\PINECO.png,95,10,10
\Back\PINSIR.png,143,12,12
\Back\PINSIR_1.png,1,1,1
\Back\PIPLUP.png,149,12,13
\Back\PLUSLE.png,144,12,12
\Back\POIPOLE.png,1,1,1
\Back\POLITOED.png,95,10,10
\Back\POLITOED_female.png,95,10,10
\Back\POLIWAG.png,79,9,9
\Back\POLIWHIRL.png,107,10,11
\Back\POLIWRATH.png,89,9,10
\Back\PONYTA.png,91,10,10
\Back\POOCHYENA.png,85,9,10
\Back\POPPLIO.png,1,1,1
\Back\PORYGON.png,53,7,8
\Back\PORYGON2.png,95,10,10
\Back\PORYGONZ.png,95,10,10
\Back\PRIMARINA.png,1,1,1
\Back\PRIMEAPE.png,51,7,8
\Back\PRINPLUP.png,125,11,12
\Back\PROBOPASS.png,237,15,16
\Back\PSYDUCK.png,46,7,7
\Back\PUMPKABOO.png,1,1,1
\Back\PUMPKABOO_1.png,1,1,1
\Back\PUMPKABOO_2.png,1,1,1
\Back\PUMPKABOO_3.png,1,1,1
\Back\PUPITAR.png,63,8,8
\Back\PURRLOIN.png,65,8,9
\Back\PURUGLY.png,120,11,11
\Back\PYROAR.png,1,1,1
\Back\PYROAR_female.png,1,1,1
\Back\PYUKUMUKU.png,1,1,1
\Back\QUAGSIRE.png,69,8,9
\Back\QUAGSIRE_female.png,69,8,9
\Back\QUILAVA.png,82,9,10
\Back\QUILLADIN.png,1,1,1
\Back\QWILFISH.png,65,8,9
\Back\RAICHU.png,167,13,13
\Back\RAICHU_1.png,1,1,1
\Back\RAICHU_female.png,167,13,13
\Back\RAIKOU.png,175,13,14
\Back\RALTS.png,131,11,12
\Back\RAMPARDOS.png,175,13,14
\Back\RAPIDASH.png,48,7,7
\Back\RATICATE.png,119,11,11
\Back\RATICATE_1.png,1,1,1
\Back\RATICATE_female.png,119,11,11
\Back\RATTATA.png,99,10,10
\Back\RATTATA_1.png,1,1,1
\Back\RATTATA_female.png,99,10,10
\Back\RAYQUAZA.png,116,11,11
\Back\RAYQUAZA_1.png,1,1,1
\Back\REGICE.png,83,9,10
\Back\REGIGIGAS.png,145,12,13
\Back\REGIROCK.png,103,10,11
\Back\REGISTEEL.png,83,9,10
\Back\RELICANTH.png,113,11,11
\Back\RELICANTH_female.png,113,11,11
\Back\REMORAID.png,91,10,10
\Back\RESHIRAM.png,223,15,15
\Back\REUNICLUS.png,143,12,12
\Back\RHYDON.png,193,14,14
\Back\RHYDON_female.png,193,14,14
\Back\RHYHORN.png,167,13,13
\Back\RHYHORN_female.png,167,13,13
\Back\RHYPERIOR.png,251,16,16
\Back\RHYPERIOR_female.png,251,16,16
\Back\RIBOMBEE.png,1,1,1
\Back\RIOLU.png,125,11,12
\Back\ROCKRUFF.png,1,1,1
\Back\ROGGENROLA.png,129,11,12
\Back\ROSELIA.png,98,10,10
\Back\ROSELIA_female.png,98,10,10
\Back\ROSERADE.png,203,14,15
\Back\ROSERADE_female.png,203,14,15
\Back\ROTOM.png,192,14,14
\Back\ROTOM_1.png,160,13,13
\Back\ROTOM_2.png,213,15,15
\Back\ROTOM_3.png,171,13,14
\Back\ROTOM_4.png,171,13,14
\Back\ROTOM_5.png,171,13,14
\Back\ROWLET.png,1,1,1
\Back\RUFFLET.png,142,12,12
\Back\SABLEYE.png,92,10,10
\Back\SABLEYE_1.png,1,1,1
\Back\SALAMENCE.png,133,12,12
\Back\SALAMENCE_1.png,1,1,1
\Back\SALANDIT.png,1,1,1
\Back\SALAZZLE.png,1,1,1
\Back\SAMUROTT.png,221,15,15
\Back\SANDILE.png,104,10,11
\Back\SANDSHREW.png,123,11,12
\Back\SANDSHREW_1.png,1,1,1
\Back\SANDSLASH.png,111,11,11
\Back\SANDSLASH_1.png,1,1,1
\Back\SANDYGAST.png,1,1,1
\Back\SAWK.png,127,11,12
\Back\SAWSBUCK.png,139,12,12
\Back\SAWSBUCK_1.png,139,12,12
\Back\SAWSBUCK_2.png,139,12,12
\Back\SAWSBUCK_3.png,139,12,12
\Back\SCATTERBUG.png,1,1,1
\Back\SCEPTILE.png,135,12,12
\Back\SCEPTILE_1.png,1,1,1
\Back\SCIZOR.png,105,10,11
\Back\SCIZOR_1.png,20,4,5
\Back\SCIZOR_female.png,105,10,11
\Back\SCOLIPEDE.png,233,15,16
\Back\SCRAFTY.png,165,13,13
\Back\SCRAGGY.png,143,12,12
\Back\SCYTHER.png,137,12,12
\Back\SCYTHER_female.png,137,12,12
\Back\SEADRA.png,64,8,8
\Back\SEAKING.png,96,10,10
\Back\SEAKING_female.png,96,10,10
\Back\SEALEO.png,111,11,11
\Back\SEEDOT.png,259,16,17
\Back\SEEL.png,49,7,7
\Back\SEISMITOAD.png,192,14,14
\Back\SENTRET.png,71,8,9
\Back\SERPERIOR.png,139,12,12
\Back\SERVINE.png,99,10,10
\Back\SEVIPER.png,92,10,10
\Back\SEWADDLE.png,159,13,13
\Back\SHARPEDO.png,125,11,12
\Back\SHARPEDO_1.png,1,1,1
\Back\SHAYMIN.png,109,10,11
\Back\SHAYMIN_1.png,173,13,14
\Back\SHEDINJA.png,17,4,5
\Back\SHELGON.png,78,9,9
\Back\SHELLDER.png,87,9,10
\Back\SHELLOS.png,103,10,11
\Back\SHELLOS_1.png,103,10,11
\Back\SHELMET.png,124,11,12
\Back\SHIELDON.png,116,11,11
\Back\SHIFTRY.png,107,10,11
\Back\SHIFTRY_female.png,107,10,11
\Back\SHIINOTIC.png,1,1,1
\Back\SHINX.png,127,11,12
\Back\SHINX_female.png,127,11,12
\Back\SHROOMISH.png,54,7,8
\Back\SHUCKLE.png,103,10,11
\Back\SHUPPET.png,86,9,10
\Back\SIGILYPH.png,117,11,11
\Back\SILCOON.png,90,9,10
\Back\SILVALLY.png,1,1,1
\Back\SILVALLY_1.png,1,1,1
\Back\SILVALLY_10.png,1,1,1
\Back\SILVALLY_11.png,1,1,1
\Back\SILVALLY_12.png,1,1,1
\Back\SILVALLY_13.png,1,1,1
\Back\SILVALLY_14.png,1,1,1
\Back\SILVALLY_15.png,1,1,1
\Back\SILVALLY_16.png,1,1,1
\Back\SILVALLY_17.png,1,1,1
\Back\SILVALLY_18.png,1,1,1
\Back\SILVALLY_2.png,1,1,1
\Back\SILVALLY_3.png,1,1,1
\Back\SILVALLY_4.png,1,1,1
\Back\SILVALLY_5.png,1,1,1
\Back\SILVALLY_6.png,1,1,1
\Back\SILVALLY_7.png,1,1,1
\Back\SILVALLY_8.png,1,1,1
\Back\SIMIPOUR.png,101,10,11
\Back\SIMISAGE.png,161,13,13
\Back\SIMISEAR.png,95,10,10
\Back\SKARMORY.png,112,11,11
\Back\SKIDDO.png,1,1,1
\Back\SKIPLOOM.png,95,10,10
\Back\SKITTY.png,147,12,13
\Back\SKORUPI.png,105,10,11
\Back\SKRELP.png,1,1,1
\Back\SKUNTANK.png,95,10,10
\Back\SLAKING.png,70,8,9
\Back\SLAKOTH.png,40,6,7
\Back\SLIGGOO.png,1,1,1
\Back\SLOWBRO.png,113,11,11
\Back\SLOWBRO_1.png,1,1,1
\Back\SLOWKING.png,101,10,11
\Back\SLOWPOKE.png,89,9,10
\Back\SLUGMA.png,64,8,8
\Back\SLURPUFF.png,1,1,1
\Back\SMEARGLE.png,95,10,10
\Back\SMOOCHUM.png,95,10,10
\Back\SNEASEL.png,113,11,11
\Back\SNEASEL_female.png,113,11,11
\Back\SNIVY.png,146,12,13
\Back\SNORLAX.png,173,13,14
\Back\SNORUNT.png,63,8,8
\Back\SNOVER.png,111,11,11
\Back\SNOVER_female.png,111,11,11
\Back\SNUBBULL.png,104,10,11
\Back\SOLGALEO.png,1,1,1
\Back\SOLOSIS.png,123,11,12
\Back\SOLROCK.png,223,15,15
\Back\SPEAROW.png,61,8,8
\Back\SPEWPA.png,40,6,7
\Back\SPHEAL.png,85,9,10
\Back\SPINARAK.png,65,8,9
\Back\SPINDA.png,114,11,11
\Back\SPIRITOMB.png,223,15,15
\Back\SPOINK.png,131,11,12
\Back\SPRITZEE.png,45,7,7
\Back\SQUIRTLE.png,51,7,8
\Back\STAKATAKA.png,1,1,1
\Back\STANTLER.png,85,9,10
\Back\STARAPTOR.png,92,10,10
\Back\STARAPTOR_female.png,92,10,10
\Back\STARAVIA.png,117,11,11
\Back\STARAVIA_female.png,117,11,11
\Back\STARLY.png,98,10,10
\Back\STARLY_female.png,98,10,10
\Back\STARMIE.png,159,13,13
\Back\STARYU.png,79,9,9
\Back\STEELIX.png,95,10,10
\Back\STEELIX_1.png,1,1,1
\Back\STEELIX_female.png,95,10,10
\Back\STEENEE.png,1,1,1
\Back\STOUTLAND.png,151,12,13
\Back\STUFFUL.png,1,1,1
\Back\STUNFISK.png,125,11,12
\Back\STUNKY.png,95,10,10
\Back\SUDOWOODO.png,67,8,9
\Back\SUDOWOODO_female.png,67,8,9
\Back\SUICUNE.png,95,10,10
\Back\SUNFLORA.png,90,9,10
\Back\SUNKERN.png,65,8,9
\Back\SURSKIT.png,114,11,11
\Back\SWABLU.png,23,5,5
\Back\SWADLOON.png,127,11,12
\Back\SWALOT.png,99,10,10
\Back\SWALOT_female.png,99,10,10
\Back\SWAMPERT.png,93,10,10
\Back\SWAMPERT_1.png,1,1,1
\Back\SWANNA.png,125,11,12
\Back\SWELLOW.png,137,12,12
\Back\SWINUB.png,55,7,8
\Back\SWIRLIX.png,53,7,8
\Back\SWOOBAT.png,110,10,11
\Back\SYLVEON.png,9,3,3
\Back\TAILLOW.png,65,8,9
\Back\TALONFLAME.png,80,9,9
\Back\TANGELA.png,63,8,8
\Back\TANGROWTH.png,191,14,14
\Back\TANGROWTH_female.png,191,14,14
\Back\TAPUBULU.png,1,1,1
\Back\TAPUFINI.png,1,1,1
\Back\TAPUKOKO.png,1,1,1
\Back\TAPULELE.png,1,1,1
\Back\TAUROS.png,81,9,9
\Back\TEDDIURSA.png,83,9,10
\Back\TENTACOOL.png,95,10,10
\Back\TENTACRUEL.png,80,9,9
\Back\TEPIG.png,115,11,11
\Back\TERRAKION.png,162,13,13
\Back\THROH.png,111,11,11
\Back\THUNDURUS.png,197,14,15
\Back\THUNDURUS_1.png,189,14,14
\Back\TIMBURR.png,133,12,12
\Back\TIRTOUGA.png,127,11,12
\Back\TOGEDEMARU.png,1,1,1
\Back\TOGEKISS.png,95,10,10
\Back\TOGEPI.png,101,10,11
\Back\TOGETIC.png,101,10,11
\Back\TORCHIC.png,149,12,13
\Back\TORCHIC_female.png,149,12,13
\Back\TORKOAL.png,137,12,12
\Back\TORNADUS.png,235,15,16
\Back\TORNADUS_1.png,307,18,18
\Back\TORRACAT.png,1,1,1
\Back\TORTERRA.png,109,10,11
\Back\TOTODILE.png,87,9,10
\Back\TOUCANNON.png,1,1,1
\Back\TOXAPEX.png,1,1,1
\Back\TOXICROAK.png,127,11,12
\Back\TOXICROAK_female.png,127,11,12
\Back\TRANQUILL.png,149,12,13
\Back\TRAPINCH.png,37,6,7
\Back\TREECKO.png,108,10,11
\Back\TREVENANT.png,8,3,3
\Back\TROPIUS.png,85,9,10
\Back\TRUBBISH.png,203,14,15
\Back\TRUMBEAK.png,1,1,1
\Back\TSAREENA.png,1,1,1
\Back\TURTONATOR.png,1,1,1
\Back\TURTWIG.png,77,9,9
\Back\TYMPOLE.png,190,14,14
\Back\TYNAMO.png,210,14,15
\Back\TYPENULL.png,1,1,1
\Back\TYPHLOSION.png,112,11,11
\Back\TYRANITAR.png,85,9,10
\Back\TYRANITAR_1.png,1,1,1
\Back\TYRANTRUM.png,56,7,8
\Back\TYROGUE.png,66,8,9
\Back\TYRUNT.png,1,1,1
\Back\UMBREON.png,65,8,9
\Back\UNFEZANT.png,160,13,13
\Back\UNFEZANT_female.png,154,12,13
\Back\UNOWN.png,95,10,10
\Back\UNOWN_1.png,95,10,10
\Back\UNOWN_10.png,95,10,10
\Back\UNOWN_11.png,95,10,10
\Back\UNOWN_12.png,95,10,10
\Back\UNOWN_13.png,95,10,10
\Back\UNOWN_14.png,93,10,10
\Back\UNOWN_15.png,95,10,10
\Back\UNOWN_16.png,95,10,10
\Back\UNOWN_17.png,95,10,10
\Back\UNOWN_18.png,95,10,10
\Back\UNOWN_19.png,95,10,10
\Back\UNOWN_2.png,90,9,10
\Back\UNOWN_20.png,95,10,10
\Back\UNOWN_21.png,95,10,10
\Back\UNOWN_22.png,95,10,10
\Back\UNOWN_23.png,95,10,10
\Back\UNOWN_24.png,95,10,10
\Back\UNOWN_25.png,95,10,10
\Back\UNOWN_26.png,95,10,10
\Back\UNOWN_27.png,95,10,10
\Back\UNOWN_3.png,95,10,10
\Back\UNOWN_4.png,95,10,10
\Back\UNOWN_5.png,95,10,10
\Back\UNOWN_6.png,95,10,10
\Back\UNOWN_7.png,95,10,10
\Back\UNOWN_8.png,95,10,10
\Back\UNOWN_9.png,95,10,10
\Back\URSARING.png,124,11,12
\Back\URSARING_female.png,124,11,12
\Back\UXIE.png,191,14,14
\Back\VANILLISH.png,145,12,13
\Back\VANILLITE.png,107,10,11
\Back\VANILLUXE.png,214,15,15
\Back\VAPOREON.png,107,10,11
\Back\VENIPEDE.png,179,13,14
\Back\VENOMOTH.png,21,5,5
\Back\VENONAT.png,95,10,10
\Back\VENUSAUR.png,167,13,13
\Back\VENUSAUR_1.png,1,1,1
\Back\VENUSAUR_1_female.png,1,1,1
\Back\VENUSAUR_female.png,167,13,13
\Back\VESPIQUEN.png,224,15,15
\Back\VIBRAVA.png,85,9,10
\Back\VICTINI.png,109,10,11
\Back\VICTREEBEL.png,71,8,9
\Back\VIGOROTH.png,90,9,10
\Back\VIKAVOLT.png,1,1,1
\Back\VILEPLUME.png,71,8,9
\Back\VILEPLUME_female.png,71,8,9
\Back\VIRIZION.png,179,13,14
\Back\VIVILLON.png,64,8,8
\Back\VIVILLON_19.png,1,1,1
\Back\VIVILLON_20.png,1,1,1
\Back\VOLBEAT.png,55,7,8
\Back\VOLCANION.png,1,1,1
\Back\VOLCARONA.png,48,7,7
\Back\VOLTORB.png,70,8,9
\Back\VULLABY.png,140,12,12
\Back\VULPIX.png,71,8,9
\Back\VULPIX_1.png,1,1,1
\Back\WAILMER.png,107,10,11
\Back\WAILORD.png,111,11,11
\Back\WALREIN.png,92,10,10
\Back\WARTORTLE.png,87,9,10
\Back\WATCHOG.png,169,13,13
\Back\WEAVILE.png,127,11,12
\Back\WEAVILE_female.png,127,11,12
\Back\WEEDLE.png,123,11,12
\Back\WEEPINBELL.png,97,10,10
\Back\WEEZING.png,99,10,10
\Back\WHIMSICOTT.png,117,11,11
\Back\WHIRLIPEDE.png,139,12,12
\Back\WHISCASH.png,191,14,14
\Back\WHISMUR.png,58,8,8
\Back\WIGGLYTUFF.png,109,10,11
\Back\WIMPOD.png,1,1,1
\Back\WINGULL.png,151,12,13
\Back\WISHIWASHI.png,1,1,1
\Back\WISHIWASHI_1.png,1,1,1
\Back\WOBBUFFET.png,120,11,11
\Back\WOBBUFFET_female.png,120,11,11
\Back\WOOBAT.png,160,13,13
\Back\WOOPER.png,97,10,10
\Back\WOOPER_female.png,97,10,10
\Back\WORMADAM.png,225,15,15
\Back\WORMADAM_1.png,225,15,15
\Back\WORMADAM_2.png,225,15,15
\Back\WURMPLE.png,61,8,8
\Back\WYNAUT.png,107,10,11
\Back\XATU.png,97,10,10
\Back\XATU_female.png,97,10,10
\Back\XERNEAS.png,1,1,1
\Back\XURKITREE.png,1,1,1
\Back\YAMASK.png,144,12,12
\Back\YANMA.png,42,6,7
\Back\YANMEGA.png,112,11,11
\Back\YUNGOOS.png,1,1,1
\Back\YVELTAL.png,1,1,1
\Back\ZANGOOSE.png,71,8,9
\Back\ZAPDOS.png,17,4,5
\Back\ZEBSTRIKA.png,153,12,13
\Back\ZEKROM.png,191,14,14
\Back\ZERAORA.png,1,1,1
\Back\ZIGZAGOON.png,100,10,10
\Back\ZOROARK.png,179,13,14
\Back\ZORUA.png,118,11,11
\Back\ZUBAT.png,54,7,8
\Back\ZUBAT_female.png,54,7,8
\Back\ZWEILOUS.png,120,11,11
\Back\ZYGARDE.png,10,3,4
\Back\ZYGARDE_1.png,1,1,1
\Back\ZYGARDE_2.png,1,1,1
\BackShiny\000.png,1,1,1
\BackShiny\ABOMASNOW.png,81,9,9
\BackShiny\ABOMASNOW_1.png,52,7,8
\BackShiny\ABOMASNOW_female.png,81,9,9
\BackShiny\ABRA.png,111,11,11
\BackShiny\ABSOL.png,137,12,12
\BackShiny\ABSOL_1.png,16,4,4
\BackShiny\ACCELGOR.png,218,15,15
\BackShiny\AEGISLASH.png,16,4,4
\BackShiny\AEGISLASH_1.png,16,4,4
\BackShiny\AERODACTYL.png,17,4,5
\BackShiny\AERODACTYL_1.png,1,1,1
\BackShiny\AGGRON.png,117,11,11
\BackShiny\AGGRON_1.png,1,1,1
\BackShiny\AIPOM.png,78,9,9
\BackShiny\AIPOM_female.png,78,9,9
\BackShiny\ALAKAZAM.png,105,10,11
\BackShiny\ALAKAZAM_1.png,1,1,1
\BackShiny\ALAKAZAM_female.png,105,10,11
\BackShiny\ALOMOMOLA.png,117,11,11
\BackShiny\ALTARIA.png,101,10,11
\BackShiny\ALTARIA_1.png,1,1,1
\BackShiny\AMAURA.png,1,1,1
\BackShiny\AMBIPOM.png,191,14,14
\BackShiny\AMBIPOM_female.png,191,14,14
\BackShiny\AMOONGUSS.png,95,10,10
\BackShiny\AMPHAROS.png,73,9,9
\BackShiny\AMPHAROS_1.png,10,3,4
\BackShiny\ANORITH.png,103,10,11
\BackShiny\ARAQUANID.png,1,1,1
\BackShiny\ARBOK.png,73,9,9
\BackShiny\ARCANINE.png,71,8,9
\BackShiny\ARCEUS.png,165,13,13
\BackShiny\ARCEUS_1.png,158,13,13
\BackShiny\ARCEUS_10.png,158,13,13
\BackShiny\ARCEUS_11.png,158,13,13
\BackShiny\ARCEUS_12.png,158,13,13
\BackShiny\ARCEUS_13.png,158,13,13
\BackShiny\ARCEUS_14.png,158,13,13
\BackShiny\ARCEUS_15.png,158,13,13
\BackShiny\ARCEUS_16.png,158,13,13
\BackShiny\ARCEUS_17.png,158,13,13
\BackShiny\ARCEUS_18.png,158,13,13
\BackShiny\ARCEUS_2.png,158,13,13
\BackShiny\ARCEUS_3.png,158,13,13
\BackShiny\ARCEUS_4.png,158,13,13
\BackShiny\ARCEUS_5.png,158,13,13
\BackShiny\ARCEUS_6.png,158,13,13
\BackShiny\ARCEUS_7.png,158,13,13
\BackShiny\ARCEUS_8.png,158,13,13
\BackShiny\ARCEUS_9.png,158,13,13
\BackShiny\ARCHEN.png,127,11,12
\BackShiny\ARCHEOPS.png,80,9,9
\BackShiny\ARIADOS.png,33,6,6
\BackShiny\ARMALDO.png,153,12,13
\BackShiny\AROMATISSE.png,1,1,1
\BackShiny\ARON.png,31,6,6
\BackShiny\ARTICUNO.png,51,7,8
\BackShiny\AUDINO.png,118,11,11
\BackShiny\AUDINO_1.png,1,1,1
\BackShiny\AURORUS.png,1,1,1
\BackShiny\AVALUGG.png,1,1,1
\BackShiny\AXEW.png,150,12,13
\BackShiny\AZELF.png,263,16,17
\BackShiny\AZUMARILL.png,145,12,13
\BackShiny\AZURILL.png,92,10,10
\BackShiny\BAGON.png,53,7,8
\BackShiny\BALTOY.png,81,9,9
\BackShiny\BANETTE.png,131,11,12
\BackShiny\BANETTE_1.png,1,1,1
\BackShiny\BARBARACLE.png,1,1,1
\BackShiny\BARBOACH.png,143,12,12
\BackShiny\BASCULIN.png,181,13,14
\BackShiny\BASCULIN_1.png,178,13,14
\BackShiny\BASTIODON.png,122,11,12
\BackShiny\BAYLEEF.png,119,11,11
\BackShiny\BEARTIC.png,224,15,15
\BackShiny\BEAUTIFLY.png,154,12,13
\BackShiny\BEAUTIFLY_female.png,154,12,13
\BackShiny\BEEDRILL.png,20,4,5
\BackShiny\BEEDRILL_1.png,1,1,1
\BackShiny\BEHEEYEM.png,104,10,11
\BackShiny\BELDUM.png,69,8,9
\BackShiny\BELLOSSOM.png,107,10,11
\BackShiny\BELLSPROUT.png,95,10,10
\BackShiny\BERGMITE.png,1,1,1
\BackShiny\BEWEAR.png,1,1,1
\BackShiny\BIBAREL.png,167,13,13
\BackShiny\BIBAREL_female.png,167,13,13
\BackShiny\BIDOOF.png,103,10,11
\BackShiny\BIDOOF_female.png,103,10,11
\BackShiny\BINACLE.png,14,4,4
\BackShiny\BISHARP.png,159,13,13
\BackShiny\BLACEPHALON.png,1,1,1
\BackShiny\BLASTOISE.png,244,16,16
\BackShiny\BLASTOISE_1.png,1,1,1
\BackShiny\BLAZIKEN.png,113,11,11
\BackShiny\BLAZIKEN_1.png,1,1,1
\BackShiny\BLAZIKEN_female.png,113,11,11
\BackShiny\BLISSEY.png,96,10,10
\BackShiny\BLITZLE.png,157,13,13
\BackShiny\BOLDORE.png,117,11,11
\BackShiny\BONSLY.png,155,12,13
\BackShiny\BOUFFALANT.png,153,12,13
\BackShiny\BOUNSWEET.png,1,1,1
\BackShiny\BRAIXEN.png,1,1,1
\BackShiny\BRAVIARY.png,41,6,7
\BackShiny\BRELOOM.png,51,7,8
\BackShiny\BRIONNE.png,1,1,1
\BackShiny\BRONZONG.png,109,10,11
\BackShiny\BRONZOR.png,125,11,12
\BackShiny\BRUXISH.png,1,1,1
\BackShiny\BUDEW.png,108,10,11
\BackShiny\BUIZEL.png,119,11,11
\BackShiny\BUIZEL_female.png,119,11,11
\BackShiny\BULBASAUR.png,99,10,10
\BackShiny\BUNEARY.png,183,14,14
\BackShiny\BUNNELBY.png,1,1,1
\BackShiny\BURMY.png,163,13,13
\BackShiny\BURMY_1.png,163,13,13
\BackShiny\BURMY_2.png,163,13,13
\BackShiny\BUTTERFREE.png,29,5,6
\BackShiny\BUTTERFREE_female.png,29,5,6
\BackShiny\BUZZWOLE.png,1,1,1
\BackShiny\CACNEA.png,102,10,11
\BackShiny\CACTURNE.png,114,11,11
\BackShiny\CACTURNE_female.png,114,11,11
\BackShiny\CAMERUPT.png,111,11,11
\BackShiny\CAMERUPT_1.png,1,1,1
\BackShiny\CAMERUPT_female.png,111,11,11
\BackShiny\CARBINK.png,1,1,1
\BackShiny\CARNIVINE.png,115,11,11
\BackShiny\CARRACOSTA.png,183,14,14
\BackShiny\CARVANHA.png,127,11,12
\BackShiny\CASCOON.png,93,10,10
\BackShiny\CASTFORM.png,76,9,9
\BackShiny\CASTFORM_1.png,102,10,11
\BackShiny\CASTFORM_2.png,83,9,10
\BackShiny\CASTFORM_3.png,84,9,10
\BackShiny\CATERPIE.png,81,9,9
\BackShiny\CELEBI.png,64,8,8
\BackShiny\CELESTEELA.png,1,1,1
\BackShiny\CHANDELURE.png,167,13,13
\BackShiny\CHANSEY.png,116,11,11
\BackShiny\CHARIZARD.png,143,12,12
\BackShiny\CHARIZARD_1.png,1,1,1
\BackShiny\CHARIZARD_2.png,1,1,1
\BackShiny\CHARJABUG.png,1,1,1
\BackShiny\CHARMANDER.png,107,10,11
\BackShiny\CHARMELEON.png,89,9,10
\BackShiny\CHATOT.png,160,13,13
\BackShiny\CHERRIM.png,95,10,10
\BackShiny\CHERRIM_1.png,79,9,9
\BackShiny\CHERUBI.png,117,11,11
\BackShiny\CHESNAUGHT.png,1,1,1
\BackShiny\CHESPIN.png,1,1,1
\BackShiny\CHIKORITA.png,51,7,8
\BackShiny\CHIMCHAR.png,140,12,12
\BackShiny\CHIMECHO.png,108,10,11
\BackShiny\CHINCHOU.png,63,8,8
\BackShiny\CHINGLING.png,163,13,13
\BackShiny\CINCCINO.png,101,10,11
\BackShiny\CLAMPERL.png,84,9,10
\BackShiny\CLAUNCHER.png,1,1,1
\BackShiny\CLAWITZER.png,1,1,1
\BackShiny\CLAYDOL.png,101,10,11
\BackShiny\CLEFABLE.png,102,10,11
\BackShiny\CLEFAIRY.png,132,11,12
\BackShiny\CLEFFA.png,64,8,8
\BackShiny\CLOYSTER.png,101,10,11
\BackShiny\COBALION.png,136,12,12
\BackShiny\COFAGRIGUS.png,144,12,12
\BackShiny\COMBEE.png,32,6,6
\BackShiny\COMBEE_female.png,32,6,6
\BackShiny\COMBUSKEN.png,125,11,12
\BackShiny\COMBUSKEN_female.png,125,11,12
\BackShiny\COMFEY.png,1,1,1
\BackShiny\CONKELDURR.png,139,12,12
\BackShiny\CORPHISH.png,149,12,13
\BackShiny\CORSOLA.png,113,11,11
\BackShiny\COSMOEM.png,1,1,1
\BackShiny\COSMOG.png,1,1,1
\BackShiny\COTTONEE.png,113,11,11
\BackShiny\CRABOMINABLE.png,1,1,1
\BackShiny\CRABRAWLER.png,1,1,1
\BackShiny\CRADILY.png,133,12,12
\BackShiny\CRANIDOS.png,93,10,10
\BackShiny\CRAWDAUNT.png,99,10,10
\BackShiny\CRESSELIA.png,191,14,14
\BackShiny\CROAGUNK.png,155,12,13
\BackShiny\CROAGUNK_female.png,155,12,13
\BackShiny\CROBAT.png,95,10,10
\BackShiny\CROCONAW.png,175,13,14
\BackShiny\CRUSTLE.png,119,11,11
\BackShiny\CRYOGONAL.png,143,12,12
\BackShiny\CUBCHOO.png,189,14,14
\BackShiny\CUBONE.png,157,13,13
\BackShiny\CUTIEFLY.png,1,1,1
\BackShiny\CYNDAQUIL.png,128,11,12
\BackShiny\DARKRAI.png,143,12,12
\BackShiny\DARMANITAN.png,144,12,12
\BackShiny\DARMANITAN_1.png,101,10,11
\BackShiny\DARTRIX.png,1,1,1
\BackShiny\DARUMAKA.png,157,13,13
\BackShiny\DECIDUEYE.png,1,1,1
\BackShiny\DEDENNE.png,1,1,1
\BackShiny\DEERLING.png,131,11,12
\BackShiny\DEERLING_1.png,131,11,12
\BackShiny\DEERLING_2.png,131,11,12
\BackShiny\DEERLING_3.png,131,11,12
\BackShiny\DEINO.png,117,11,11
\BackShiny\DELCATTY.png,150,12,13
\BackShiny\DELIBIRD.png,118,11,11
\BackShiny\DELPHOX.png,1,1,1
\BackShiny\DEOXYS.png,99,10,10
\BackShiny\DEOXYS_1.png,158,13,13
\BackShiny\DEOXYS_2.png,105,10,11
\BackShiny\DEOXYS_3.png,169,13,13
\BackShiny\DEWGONG.png,121,11,11
\BackShiny\DEWOTT.png,106,10,11
\BackShiny\DEWPIDER.png,1,1,1
\BackShiny\DHELMISE.png,1,1,1
\BackShiny\DIALGA.png,137,12,12
\BackShiny\DIANCIE.png,1,1,1
\BackShiny\DIANCIE_1.png,1,1,1
\BackShiny\DIGGERSBY.png,1,1,1
\BackShiny\DIGLETT.png,108,10,11
\BackShiny\DIGLETT_1.png,1,1,1
\BackShiny\DITTO.png,80,9,9
\BackShiny\DODRIO.png,155,12,13
\BackShiny\DODRIO_female.png,155,12,13
\BackShiny\DODUO.png,189,14,14
\BackShiny\DODUO_female.png,189,14,14
\BackShiny\DONPHAN.png,127,11,12
\BackShiny\DONPHAN_female.png,127,11,12
\BackShiny\DOUBLADE.png,1,1,1
\BackShiny\DRAGALGE.png,1,1,1
\BackShiny\DRAGONAIR.png,127,11,12
\BackShiny\DRAGONITE.png,102,10,11
\BackShiny\DRAMPA.png,1,1,1
\BackShiny\DRAPION.png,177,13,14
\BackShiny\DRATINI.png,49,7,7
\BackShiny\DRIFBLIM.png,71,8,9
\BackShiny\DRIFLOON.png,127,11,12
\BackShiny\DRILBUR.png,103,10,11
\BackShiny\DROWZEE.png,153,12,13
\BackShiny\DRUDDIGON.png,127,11,12
\BackShiny\DUCKLETT.png,83,9,10
\BackShiny\DUGTRIO.png,83,9,10
\BackShiny\DUGTRIO_1.png,1,1,1
