Filename,TotalFrames,Rows,Columns
\Back\CHIMECHO.png,108,10,11
\Back\CHINCHOU.png,63,8,8
\Back\CHINGLING.png,163,13,13
\Back\CINCCINO.png,101,10,11
\Back\CLAMPERL.png,84,9,10
\Back\CLAUNCHER.png,1,1,1
\Back\CLAWITZER.png,1,1,1
\Back\CLAYDOL.png,101,10,11
\Back\CLEFABLE.png,102,10,11
\Back\CLEFAIRY.png,132,11,12
\Back\CLEFFA.png,64,8,8
\Back\CLOYSTER.png,101,10,11
\Back\COBALION.png,136,12,12
\Back\COFAGRIGUS.png,144,12,12
\Back\COMBEE.png,32,6,6
\Back\COMBEE_female.png,32,6,6
\Back\COMBUSKEN.png,125,11,12
\Back\COMBUSKEN_female.png,125,11,12
\Back\COMFEY.png,1,1,1
\Back\CONKELDURR.png,139,12,12
\Back\CORPHISH.png,149,12,13
\Back\CORSOLA.png,113,11,11
\Back\COSMOEM.png,1,1,1
\Back\COSMOG.png,1,1,1
\Back\COTTONEE.png,113,11,11
\Back\CRABOMINABLE.png,1,1,1
\Back\CRABRAWLER.png,1,1,1
\Back\CRADILY.png,133,12,12
\Back\CRANIDOS.png,93,10,10
\Back\CRAWDAUNT.png,99,10,10
\Back\CRESSELIA.png,191,14,14
\Back\CROAGUNK.png,155,12,13
\Back\CROAGUNK_female.png,155,12,13
\Back\CROBAT.png,95,10,10
\Back\CROCONAW.png,175,13,14
\Back\CRUSTLE.png,119,11,11
\Back\CRYOGONAL.png,143,12,12
\Back\CUBCHOO.png,189,14,14
\Back\CUBONE.png,157,13,13
\Back\CUTIEFLY.png,1,1,1
\Back\CYNDAQUIL.png,128,11,12
\Back\DARKRAI.png,143,12,12
\Back\DARMANITAN.png,144,12,12
\Back\DARMANITAN_1.png,101,10,11
\Back\DARTRIX.png,1,1,1
\Back\DARUMAKA.png,157,13,13
\Back\DECIDUEYE.png,1,1,1
\Back\DEDENNE.png,1,1,1
\Back\DEERLING.png,131,11,12
\Back\DEERLING_1.png,131,11,12
\Back\DEERLING_2.png,131,11,12
\Back\DEERLING_3.png,131,11,12
\Back\DEINO.png,117,11,11
\Back\DELCATTY.png,150,12,13
\Back\DELIBIRD.png,118,11,11
\Back\DELPHOX.png,1,1,1
\Back\DEOXYS.png,99,10,10
\Back\DEOXYS_1.png,158,13,13
\Back\DEOXYS_2.png,105,10,11
\Back\DEOXYS_3.png,169,13,13
\Back\DEWGONG.png,121,11,11
\Back\DEWOTT.png,106,10,11
\Back\DEWPIDER.png,1,1,1
\Back\DHELMISE.png,1,1,1
\Back\DIALGA.png,137,12,12
\Back\DIANCIE.png,1,1,1
\Back\DIANCIE_1.png,1,1,1
\Back\DIGGERSBY.png,1,1,1
\Back\DIGLETT.png,108,10,11
\Back\DIGLETT_1.png,1,1,1
\Back\DITTO.png,80,9,9
\Back\DODRIO.png,155,12,13
\Back\DODRIO_female.png,155,12,13
\Back\DODUO.png,189,14,14
\Back\DODUO_female.png,189,14,14
\Back\DONPHAN.png,127,11,12
\Back\DONPHAN_female.png,127,11,12
\Back\DOUBLADE.png,1,1,1
\Back\DRAGALGE.png,1,1,1
\Back\DRAGONAIR.png,127,11,12
\Back\DRAGONITE.png,102,10,11
\Back\DRAMPA.png,1,1,1
\Back\DRAPION.png,177,13,14
\Back\DRATINI.png,49,7,7
\Back\DRIFBLIM.png,71,8,9
\Back\DRIFLOON.png,127,11,12
\Back\DRILBUR.png,103,10,11
\Back\DROWZEE.png,153,12,13
\Back\DRUDDIGON.png,127,11,12
\Back\DUCKLETT.png,83,9,10
\Back\DUGTRIO.png,83,9,10
\Back\DUGTRIO_1.png,1,1,1
\Back\DUNSPARCE.png,95,10,10
\Back\DUOSION.png,159,13,13
\Back\DURANT.png,74,9,9
\Back\DUSCLOPS.png,116,11,11
\Back\DUSKNOIR.png,95,10,10
\Back\DUSKULL.png,86,9,10
\Back\DUSTOX.png,162,13,13
\Back\DUSTOX_female.png,162,13,13
\Back\DWEBBLE.png,81,9,9
\Back\EELEKTRIK.png,85,9,10
\Back\EELEKTROSS.png,126,11,12
\Back\EEVEE.png,133,12,12
\Back\EKANS.png,71,8,9
\Back\ELECTABUZZ.png,95,10,10
\Back\ELECTIVIRE.png,103,10,11
\Back\ELECTRIKE.png,83,9,10
\Back\ELECTRODE.png,45,7,7
\Back\ELEKID.png,95,10,10
\Back\ELGYEM.png,113,11,11
\Back\EMBOAR.png,165,13,13
\Back\EMOLGA.png,186,14,14
\Back\EMPOLEON.png,131,11,12
\Back\ENTEI.png,111,11,11
\Back\ESCAVALIER.png,238,15,16
\Back\ESPEON.png,143,12,12
\Back\ESPURR.png,1,1,1
\Back\EXCADRILL.png,169,13,13
\Back\EXEGGCUTE.png,53,7,8
\Back\EXEGGUTOR.png,81,9,9
\Back\EXEGGUTOR_1.png,1,1,1
\Back\EXPLOUD.png,115,11,11
\Back\FARFETCHD.png,65,8,9
\Back\FEAROW.png,21,5,5
\Back\FEEBAS.png,91,10,10
\Back\FENNEKIN.png,73,9,9
\Back\FERALIGATR.png,83,9,10
\Back\FERROSEED.png,171,13,14
\Back\FERROTHORN.png,131,11,12
\Back\FINNEON.png,173,13,14
\Back\FINNEON_female.png,173,13,14
\Back\FLAAFFY.png,103,10,11
\Back\FLABEBE.png,1,1,1
\Back\FLABEBE_1.png,1,1,1
\Back\FLABEBE_2.png,1,1,1
\Back\FLABEBE_3.png,1,1,1
\Back\FLABEBE_4.png,1,1,1
\Back\FLAREON.png,119,11,11
\Back\FLETCHINDER.png,1,1,1
\Back\FLETCHLING.png,58,8,8
\Back\FLOATZEL.png,168,13,13
\Back\FLOATZEL_female.png,168,13,13
\Back\FLOETTE.png,1,1,1
\Back\FLOETTE_1.png,1,1,1
\Back\FLOETTE_2.png,1,1,1
\Back\FLOETTE_3.png,1,1,1
\Back\FLOETTE_4.png,1,1,1
\Back\FLOETTE_5.png,1,1,1
\Back\FLORGES.png,59,8,8
\Back\FLORGES_1.png,1,1,1
\Back\FLORGES_2.png,1,1,1
\Back\FLORGES_3.png,1,1,1
\Back\FLORGES_4.png,1,1,1
\Back\FLYGON.png,125,11,12
\Back\FOMANTIS.png,1,1,1
\Back\FOONGUS.png,99,10,10
\Back\FORRETRESS.png,54,7,8
\Back\FRAXURE.png,106,10,11
\Back\FRILLISH.png,165,13,13
\Back\FRILLISH_female.png,165,13,13
\Back\FROAKIE.png,76,9,9
\Back\FROGADIER.png,1,1,1
\Back\FROSLASS.png,131,11,12
\Back\FURFROU.png,1,1,1
\Back\FURRET.png,110,10,11
\Back\GABITE.png,55,7,8
\Back\GABITE_female.png,55,7,8
\Back\GALLADE.png,134,12,12
\Back\GALLADE_1.png,1,1,1
\Back\GALVANTULA.png,143,12,12
\Back\GARBODOR.png,135,12,12
\Back\GARCHOMP.png,89,9,10
\Back\GARCHOMP_1.png,7,3,3
\Back\GARCHOMP_female.png,89,9,10
\Back\GARDEVOIR.png,241,16,16
\Back\GARDEVOIR_1.png,31,6,6
\Back\GASTLY.png,110,10,11
\Back\GASTRODON.png,109,10,11
\Back\GASTRODON_1.png,121,11,11
\Back\GENESECT.png,179,13,14
\Back\GENESECT_1.png,179,13,14
\Back\GENESECT_2.png,179,13,14
\Back\GENESECT_3.png,179,13,14
\Back\GENESECT_4.png,179,13,14
\Back\GENGAR.png,88,9,10
\Back\GENGAR_1.png,1,1,1
\Back\GEODUDE.png,106,10,11
\Back\GEODUDE_1.png,1,1,1
\Back\GIBLE.png,125,11,12
\Back\GIBLE_female.png,125,11,12
\Back\GIGALITH.png,197,14,15
\Back\GIRAFARIG.png,63,8,8
\Back\GIRAFARIG_female.png,63,8,8
\Back\GIRATINA.png,157,13,13
\Back\GIRATINA_1.png,26,5,6
\Back\GLACEON.png,171,13,14
\Back\GLALIE.png,99,10,10
\Back\GLALIE_1.png,1,1,1
\Back\GLAMEOW.png,124,11,12
\Back\GLIGAR.png,67,8,9
\Back\GLIGAR_female.png,67,8,9
\Back\GLISCOR.png,131,11,12
\Back\GLOOM.png,95,10,10
\Back\GLOOM_female.png,95,10,10
\Back\GOGOAT.png,1,1,1
\Back\GOLBAT.png,16,4,4
\Back\GOLBAT_female.png,16,4,4
\Back\GOLDEEN.png,114,11,11
\Back\GOLDEEN_female.png,114,11,11
\Back\GOLDUCK.png,81,9,9
\Back\GOLEM.png,91,10,10
\Back\GOLEM_1.png,1,1,1
\Back\GOLETT.png,81,9,9
\Back\GOLISOPOD.png,1,1,1
\Back\GOLURK.png,159,13,13
\Back\GOODRA.png,1,1,1
\Back\GOOMY.png,82,9,10
\Back\GOREBYSS.png,108,10,11
\Back\GOTHITA.png,139,12,12
\Back\GOTHITELLE.png,191,14,14
\Back\GOTHORITA.png,159,13,13
\Back\GOURGEIST.png,1,1,1
\Back\GOURGEIST_1.png,1,1,1
\Back\GOURGEIST_2.png,1,1,1
\Back\GOURGEIST_3.png,1,1,1
\Back\GRANBULL.png,125,11,12
\Back\GRAVELER.png,47,7,7
\Back\GRAVELER_1.png,1,1,1
\Back\GRENINJA.png,1,1,1
\Back\GRENINJA_1.png,1,1,1
\Back\GRIMER.png,113,11,11
\Back\GRIMER_1.png,1,1,1
\Back\GROTLE.png,113,11,11
\Back\GROUDON.png,101,10,11
\Back\GROUDON_1.png,1,1,1
\Back\GROVYLE.png,148,12,13
\Back\GROWLITHE.png,135,12,12
\Back\GRUBBIN.png,1,1,1
\Back\GRUMPIG.png,29,5,6
\Back\GULPIN.png,93,10,10
\Back\GULPIN_female.png,93,10,10
\Back\GUMSHOOS.png,1,1,1
\Back\GURDURR.png,143,12,12
\Back\GUZZLORD.png,1,1,1
\Back\GYARADOS.png,87,9,10
\Back\GYARADOS_1.png,1,1,1
\Back\GYARADOS_female.png,87,9,10
\Back\HAKAMOO.png,1,1,1
\Back\HAPPINY.png,65,8,9
\Back\HARIYAMA.png,132,11,12
\Back\HAUNTER.png,25,5,5
\Back\HAWLUCHA.png,1,1,1
\Back\HAXORUS.png,185,14,14
\Back\HEATMOR.png,96,10,10
\Back\HEATRAN.png,203,14,15
\Back\HELIOLISK.png,1,1,1
\Back\HELIOPTILE.png,1,1,1
\Back\HERACROSS.png,84,9,10
\Back\HERACROSS_1.png,1,1,1
\Back\HERACROSS_female.png,84,9,10
\Back\HERDIER.png,117,11,11
\Back\HIPPOPOTAS.png,191,14,14
\Back\HIPPOPOTAS_female.png,191,14,14
\Back\HIPPOWDON.png,95,10,10
\Back\HIPPOWDON_female.png,95,10,10
\Back\HITMONCHAN.png,81,9,9
\Back\HITMONLEE.png,108,10,11
\Back\HITMONTOP.png,129,11,12
\Back\HONCHKROW.png,85,9,10
\Back\HONEDGE.png,16,4,4
\Back\HOOH.png,83,9,10
\Back\HOOPA.png,1,1,1
\Back\HOOPA_1.png,1,1,1
\Back\HOOTHOOT.png,131,11,12
\Back\HOPPIP.png,79,9,9
\Back\HORSEA.png,80,9,9
\Back\HOUNDOOM.png,96,10,10
\Back\HOUNDOOM_1.png,1,1,1
\Back\HOUNDOOM_female.png,96,10,10
\Back\HOUNDOUR.png,102,10,11
\Back\HUNTAIL.png,113,11,11
\Back\HYDREIGON.png,75,9,9
\Back\HYPNO.png,123,11,12
\Back\HYPNO_female.png,123,11,12
\Back\IGGLYBUFF.png,161,13,13
\Back\ILLUMISE.png,45,7,7
\Back\INCINEROAR.png,1,1,1
\Back\INFERNAPE.png,133,12,12
\Back\INKAY.png,1,1,1
\Back\IVYSAUR.png,111,11,11
\Back\JANGMOO.png,1,1,1
\Back\JELLICENT.png,137,12,12
\Back\JELLICENT_female.png,137,12,12
\Back\JIGGLYPUFF.png,109,10,11
\Back\JIRACHI.png,144,12,12
\Back\JOLTEON.png,99,10,10
\Back\JOLTIK.png,63,8,8
\Back\JUMPLUFF.png,95,10,10
